State,Topic,Question,Response,Score,Answer
Georgia,Please indicate your overall satisfaction with this convening,Plenary Speakers,Neutral,3,C-Average
Georgia,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Somewhat Satisfied,4,D-Good
Georgia,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Somewhat Satisfied,4,D-Good
Georgia,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Neutral,3,C-Average
Georgia,Please indicate your overall satisfaction with this convening,Networking Opportunities,Somewhat Satisfied,4,D-Good
Georgia,Please indicate your overall satisfaction with this convening,Plenary Speakers,Very Satisfied,5,E-Excellent
Georgia,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Very Satisfied,5,E-Excellent
Georgia,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Somewhat Satisfied,4,D-Good
Georgia,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Neutral,3,C-Average
Georgia,Please indicate your overall satisfaction with this convening,Networking Opportunities,Very Satisfied,5,E-Excellent
Georgia,Please indicate your overall satisfaction with this convening,Plenary Speakers,Very Satisfied,5,E-Excellent
Georgia,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Somewhat Satisfied,4,D-Good
Georgia,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Somewhat Satisfied,4,D-Good
Georgia,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Very Satisfied,5,E-Excellent
Georgia,Please indicate your overall satisfaction with this convening,Networking Opportunities,Very Satisfied,5,E-Excellent
Georgia,Please indicate your overall satisfaction with this convening,Plenary Speakers,Very Satisfied,5,E-Excellent
Georgia,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Very Satisfied,5,E-Excellent
Georgia,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Very Satisfied,5,E-Excellent
Georgia,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Very Satisfied,5,E-Excellent
Georgia,Please indicate your overall satisfaction with this convening,Networking Opportunities,Very Satisfied,5,E-Excellent
Georgia,Please indicate your overall satisfaction with this convening,Plenary Speakers,Very Satisfied,5,E-Excellent
Georgia,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Somewhat Satisfied,4,D-Good
Georgia,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Somewhat Satisfied,4,D-Good
Georgia,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Neutral,3,C-Average
Georgia,Please indicate your overall satisfaction with this convening,Networking Opportunities,Somewhat Satisfied,4,D-Good
Georgia,Please indicate your overall satisfaction with this convening,Plenary Speakers,Very Satisfied,5,E-Excellent
Georgia,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Very Satisfied,5,E-Excellent
Georgia,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Very Satisfied,5,E-Excellent
Georgia,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Very Satisfied,5,E-Excellent
Georgia,Please indicate your overall satisfaction with this convening,Networking Opportunities,Very Satisfied,5,E-Excellent
Georgia,Please indicate your overall satisfaction with this convening,Plenary Speakers,Neutral,3,C-Average
Georgia,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Somewhat Satisfied,4,D-Good
Georgia,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Somewhat Dissatisfied,2,B-Fair
Georgia,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Very Dissatisfied,1,A-Poor
Georgia,Please indicate your overall satisfaction with this convening,Networking Opportunities,Somewhat Satisfied,4,D-Good
Hawaii,Please indicate your overall satisfaction with this convening,Plenary Speakers,Somewhat Satisfied,4,D-Good
Hawaii,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Somewhat Satisfied,4,D-Good
Hawaii,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Neutral,3,C-Average
Hawaii,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Somewhat Satisfied,4,D-Good
Hawaii,Please indicate your overall satisfaction with this convening,Networking Opportunities,Somewhat Satisfied,4,D-Good
Hawaii,Please indicate your overall satisfaction with this convening,Plenary Speakers,Very Satisfied,5,E-Excellent
Hawaii,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Very Satisfied,5,E-Excellent
Hawaii,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Very Satisfied,5,E-Excellent
Hawaii,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Very Satisfied,5,E-Excellent
Hawaii,Please indicate your overall satisfaction with this convening,Networking Opportunities,Very Satisfied,5,E-Excellent
Idaho,Please indicate your overall satisfaction with this convening,Plenary Speakers,Very Satisfied,5,E-Excellent
Idaho,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Very Satisfied,5,E-Excellent
Idaho,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Very Satisfied,5,E-Excellent
Idaho,Please indicate your overall satisfaction with this convening,Networking Opportunities,Somewhat Satisfied,4,D-Good
Illinois,Please indicate your overall satisfaction with this convening,Plenary Speakers,Neutral,3,C-Average
Illinois,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Somewhat Satisfied,4,D-Good
Illinois,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Somewhat Satisfied,4,D-Good
Illinois,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Somewhat Satisfied,4,D-Good
Illinois,Please indicate your overall satisfaction with this convening,Networking Opportunities,Very Satisfied,5,E-Excellent
Illinois,Please indicate your overall satisfaction with this convening,Plenary Speakers,Somewhat Dissatisfied,2,B-Fair
Illinois,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Somewhat Dissatisfied,2,B-Fair
Illinois,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Neutral,3,C-Average
Illinois,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Somewhat Satisfied,4,D-Good
Illinois,Please indicate your overall satisfaction with this convening,Networking Opportunities,Very Satisfied,5,E-Excellent
Illinois,Please indicate your overall satisfaction with this convening,Plenary Speakers,Very Satisfied,5,E-Excellent
Illinois,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Very Satisfied,5,E-Excellent
Illinois,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Very Satisfied,5,E-Excellent
Illinois,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Very Satisfied,5,E-Excellent
Illinois,Please indicate your overall satisfaction with this convening,Networking Opportunities,Very Satisfied,5,E-Excellent
Illinois,Please indicate your overall satisfaction with this convening,Plenary Speakers,Very Satisfied,5,E-Excellent
Illinois,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Somewhat Satisfied,4,D-Good
Illinois,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Somewhat Satisfied,4,D-Good
Illinois,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Very Satisfied,5,E-Excellent
Illinois,Please indicate your overall satisfaction with this convening,Networking Opportunities,Very Satisfied,5,E-Excellent
Illinois,Please indicate your overall satisfaction with this convening,Plenary Speakers,Somewhat Satisfied,4,D-Good
Illinois,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Very Satisfied,5,E-Excellent
Illinois,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Very Satisfied,5,E-Excellent
Illinois,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Very Satisfied,5,E-Excellent
Illinois,Please indicate your overall satisfaction with this convening,Networking Opportunities,Very Satisfied,5,E-Excellent
Illinois,Please indicate your overall satisfaction with this convening,Plenary Speakers,Very Satisfied,5,E-Excellent
Illinois,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Very Satisfied,5,E-Excellent
Illinois,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Somewhat Satisfied,4,D-Good
Illinois,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Very Satisfied,5,E-Excellent
Illinois,Please indicate your overall satisfaction with this convening,Networking Opportunities,Somewhat Satisfied,4,D-Good
Indiana,Please indicate your overall satisfaction with this convening,Plenary Speakers,Somewhat Dissatisfied,2,B-Fair
Indiana,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Neutral,3,C-Average
Indiana,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Neutral,3,C-Average
Indiana,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Very Satisfied,5,E-Excellent
Indiana,Please indicate your overall satisfaction with this convening,Networking Opportunities,Neutral,3,C-Average
Indiana,Please indicate your overall satisfaction with this convening,Plenary Speakers,Very Dissatisfied,1,A-Poor
Indiana,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Somewhat Satisfied,4,D-Good
Indiana,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Somewhat Satisfied,4,D-Good
Indiana,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Very Satisfied,5,E-Excellent
Indiana,Please indicate your overall satisfaction with this convening,Networking Opportunities,Somewhat Dissatisfied,2,B-Fair
Indiana,Please indicate your overall satisfaction with this convening,Plenary Speakers,Somewhat Satisfied,4,D-Good
Indiana,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Neutral,3,C-Average
Indiana,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Somewhat Satisfied,4,D-Good
Indiana,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Somewhat Satisfied,4,D-Good
Indiana,Please indicate your overall satisfaction with this convening,Networking Opportunities,Neutral,3,C-Average
Indiana,Please indicate your overall satisfaction with this convening,Plenary Speakers,Very Satisfied,5,E-Excellent
Indiana,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Somewhat Satisfied,4,D-Good
Indiana,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Somewhat Satisfied,4,D-Good
Indiana,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Somewhat Satisfied,4,D-Good
Indiana,Please indicate your overall satisfaction with this convening,Networking Opportunities,Somewhat Satisfied,4,D-Good
Indiana,Please indicate your overall satisfaction with this convening,Plenary Speakers,Very Satisfied,5,E-Excellent
Indiana,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Very Satisfied,5,E-Excellent
Indiana,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Very Satisfied,5,E-Excellent
Indiana,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Very Satisfied,5,E-Excellent
Indiana,Please indicate your overall satisfaction with this convening,Networking Opportunities,Very Satisfied,5,E-Excellent
Iowa,Please indicate your overall satisfaction with this convening,Plenary Speakers,Somewhat Satisfied,4,D-Good
Iowa,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Neutral,3,C-Average
Iowa,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Somewhat Satisfied,4,D-Good
Iowa,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Somewhat Satisfied,4,D-Good
Iowa,Please indicate your overall satisfaction with this convening,Networking Opportunities,Somewhat Satisfied,4,D-Good
Kansas,Please indicate your overall satisfaction with this convening,Plenary Speakers,Very Satisfied,5,E-Excellent
Kansas,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Very Satisfied,5,E-Excellent
Kansas,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Somewhat Satisfied,4,D-Good
Kansas,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Neutral,3,C-Average
Kansas,Please indicate your overall satisfaction with this convening,Networking Opportunities,Somewhat Satisfied,4,D-Good
Kentucky,Please indicate your overall satisfaction with this convening,Plenary Speakers,Very Satisfied,5,E-Excellent
Kentucky,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Very Satisfied,5,E-Excellent
Kentucky,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Somewhat Satisfied,4,D-Good
Kentucky,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Very Satisfied,5,E-Excellent
Kentucky,Please indicate your overall satisfaction with this convening,Networking Opportunities,Somewhat Satisfied,4,D-Good
Kentucky,Please indicate your overall satisfaction with this convening,Plenary Speakers,Very Satisfied,5,E-Excellent
Kentucky,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Very Satisfied,5,E-Excellent
Kentucky,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Very Satisfied,5,E-Excellent
Kentucky,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Neutral,3,C-Average
Kentucky,Please indicate your overall satisfaction with this convening,Networking Opportunities,Somewhat Satisfied,4,D-Good
Kentucky,Please indicate your overall satisfaction with this convening,Plenary Speakers,Very Satisfied,5,E-Excellent
Kentucky,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Very Satisfied,5,E-Excellent
Kentucky,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Neutral,3,C-Average
Kentucky,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Neutral,3,C-Average
Kentucky,Please indicate your overall satisfaction with this convening,Networking Opportunities,Very Satisfied,5,E-Excellent
Kentucky,Please indicate your overall satisfaction with this convening,Plenary Speakers,Very Satisfied,5,E-Excellent
Kentucky,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Very Satisfied,5,E-Excellent
Kentucky,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Somewhat Satisfied,4,D-Good
Kentucky,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Somewhat Satisfied,4,D-Good
Louisiana,Please indicate your overall satisfaction with this convening,Plenary Speakers,Very Satisfied,5,E-Excellent
Louisiana,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Somewhat Satisfied,4,D-Good
Louisiana,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Very Satisfied,5,E-Excellent
Louisiana,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Very Satisfied,5,E-Excellent
Louisiana,Please indicate your overall satisfaction with this convening,Networking Opportunities,Very Satisfied,5,E-Excellent
Louisiana,Please indicate your overall satisfaction with this convening,Plenary Speakers,Somewhat Satisfied,4,D-Good
Louisiana,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Somewhat Satisfied,4,D-Good
Louisiana,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Somewhat Dissatisfied,2,B-Fair
Louisiana,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Somewhat Satisfied,4,D-Good
Louisiana,Please indicate your overall satisfaction with this convening,Networking Opportunities,Somewhat Satisfied,4,D-Good
Maine,Please indicate your overall satisfaction with this convening,Plenary Speakers,Very Satisfied,5,E-Excellent
Maine,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Somewhat Satisfied,4,D-Good
Maine,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Somewhat Satisfied,4,D-Good
Maine,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Somewhat Satisfied,4,D-Good
Maine,Please indicate your overall satisfaction with this convening,Networking Opportunities,Very Satisfied,5,E-Excellent
Maryland,Please indicate your overall satisfaction with this convening,Plenary Speakers,Somewhat Satisfied,4,D-Good
Maryland,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Somewhat Satisfied,4,D-Good
Maryland,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Somewhat Satisfied,4,D-Good
Maryland,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Neutral,3,C-Average
Maryland,Please indicate your overall satisfaction with this convening,Networking Opportunities,Neutral,3,C-Average
Maryland,Please indicate your overall satisfaction with this convening,Plenary Speakers,Very Satisfied,5,E-Excellent
Maryland,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Somewhat Satisfied,4,D-Good
Maryland,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Neutral,3,C-Average
Maryland,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Neutral,3,C-Average
Maryland,Please indicate your overall satisfaction with this convening,Networking Opportunities,Somewhat Satisfied,4,D-Good
Maryland,Please indicate your overall satisfaction with this convening,Plenary Speakers,Somewhat Satisfied,4,D-Good
Maryland,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Somewhat Satisfied,4,D-Good
Maryland,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Somewhat Satisfied,4,D-Good
Maryland,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Neutral,3,C-Average
Maryland,Please indicate your overall satisfaction with this convening,Networking Opportunities,Neutral,3,C-Average
Maryland,Please indicate your overall satisfaction with this convening,Plenary Speakers,Neutral,3,C-Average
Maryland,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Somewhat Satisfied,4,D-Good
Maryland,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Neutral,3,C-Average
Maryland,Please indicate your overall satisfaction with this convening,Networking Opportunities,Neutral,3,C-Average
Maryland,Please indicate your overall satisfaction with this convening,Plenary Speakers,Very Satisfied,5,E-Excellent
Maryland,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Very Satisfied,5,E-Excellent
Maryland,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Somewhat Satisfied,4,D-Good
Maryland,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Somewhat Satisfied,4,D-Good
Maryland,Please indicate your overall satisfaction with this convening,Networking Opportunities,Very Satisfied,5,E-Excellent
Massachusetts,Please indicate your overall satisfaction with this convening,Plenary Speakers,Very Satisfied,5,E-Excellent
Massachusetts,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Very Satisfied,5,E-Excellent
Massachusetts,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Somewhat Satisfied,4,D-Good
Massachusetts,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Very Satisfied,5,E-Excellent
Massachusetts,Please indicate your overall satisfaction with this convening,Networking Opportunities,Very Satisfied,5,E-Excellent
Massachusetts,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Very Satisfied,5,E-Excellent
Massachusetts,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Very Satisfied,5,E-Excellent
Massachusetts,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Very Satisfied,5,E-Excellent
Massachusetts,Please indicate your overall satisfaction with this convening,Networking Opportunities,Very Satisfied,5,E-Excellent
Michigan,Please indicate your overall satisfaction with this convening,Plenary Speakers,Very Satisfied,5,E-Excellent
Michigan,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Very Satisfied,5,E-Excellent
Michigan,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Very Satisfied,5,E-Excellent
Michigan,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Very Satisfied,5,E-Excellent
Michigan,Please indicate your overall satisfaction with this convening,Networking Opportunities,Very Satisfied,5,E-Excellent
Michigan,Please indicate your overall satisfaction with this convening,Plenary Speakers,Very Satisfied,5,E-Excellent
Michigan,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Very Satisfied,5,E-Excellent
Michigan,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Very Satisfied,5,E-Excellent
Michigan,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Very Satisfied,5,E-Excellent
Michigan,Please indicate your overall satisfaction with this convening,Networking Opportunities,Neutral,3,C-Average
Michigan,Please indicate your overall satisfaction with this convening,Plenary Speakers,Very Satisfied,5,E-Excellent
Michigan,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Somewhat Satisfied,4,D-Good
Michigan,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Somewhat Satisfied,4,D-Good
Michigan,Please indicate your overall satisfaction with this convening,Networking Opportunities,Very Satisfied,5,E-Excellent
Michigan,Please indicate your overall satisfaction with this convening,Plenary Speakers,Very Satisfied,5,E-Excellent
Michigan,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Somewhat Satisfied,4,D-Good
Michigan,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Somewhat Satisfied,4,D-Good
Michigan,Please indicate your overall satisfaction with this convening,Networking Opportunities,Very Satisfied,5,E-Excellent
Minnesota,Please indicate your overall satisfaction with this convening,Plenary Speakers,Very Satisfied,5,E-Excellent
Minnesota,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Very Satisfied,5,E-Excellent
Minnesota,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Very Satisfied,5,E-Excellent
Minnesota,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Very Satisfied,5,E-Excellent
Minnesota,Please indicate your overall satisfaction with this convening,Networking Opportunities,Very Satisfied,5,E-Excellent
Mississippi,Please indicate your overall satisfaction with this convening,Plenary Speakers,Somewhat Satisfied,4,D-Good
Mississippi,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Somewhat Satisfied,4,D-Good
Mississippi,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Very Satisfied,5,E-Excellent
Mississippi,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Very Satisfied,5,E-Excellent
Mississippi,Please indicate your overall satisfaction with this convening,Networking Opportunities,Very Satisfied,5,E-Excellent
Mississippi,Please indicate your overall satisfaction with this convening,Plenary Speakers,Very Dissatisfied,1,A-Poor
Mississippi,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Somewhat Satisfied,4,D-Good
Mississippi,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Somewhat Satisfied,4,D-Good
Mississippi,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Very Satisfied,5,E-Excellent
Mississippi,Please indicate your overall satisfaction with this convening,Networking Opportunities,Somewhat Satisfied,4,D-Good
Mississippi,Please indicate your overall satisfaction with this convening,Plenary Speakers,Somewhat Satisfied,4,D-Good
Mississippi,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Somewhat Satisfied,4,D-Good
Mississippi,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Very Satisfied,5,E-Excellent
Mississippi,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Very Satisfied,5,E-Excellent
Mississippi,Please indicate your overall satisfaction with this convening,Networking Opportunities,Very Satisfied,5,E-Excellent
Missouri,Please indicate your overall satisfaction with this convening,Plenary Speakers,Very Satisfied,5,E-Excellent
Missouri,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Very Satisfied,5,E-Excellent
Missouri,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Very Satisfied,5,E-Excellent
Missouri,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Very Satisfied,5,E-Excellent
Missouri,Please indicate your overall satisfaction with this convening,Networking Opportunities,Very Satisfied,5,E-Excellent
Missouri,Please indicate your overall satisfaction with this convening,Plenary Speakers,Very Satisfied,5,E-Excellent
Missouri,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Very Satisfied,5,E-Excellent
Missouri,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Very Satisfied,5,E-Excellent
Missouri,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Very Satisfied,5,E-Excellent
Missouri,Please indicate your overall satisfaction with this convening,Networking Opportunities,Very Satisfied,5,E-Excellent
Missouri,Please indicate your overall satisfaction with this convening,Plenary Speakers,Very Satisfied,5,E-Excellent
Missouri,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Very Satisfied,5,E-Excellent
Missouri,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Somewhat Satisfied,4,D-Good
Missouri,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Very Satisfied,5,E-Excellent
Missouri,Please indicate your overall satisfaction with this convening,Networking Opportunities,Very Satisfied,5,E-Excellent
Missouri,Please indicate your overall satisfaction with this convening,Plenary Speakers,Very Satisfied,5,E-Excellent
Missouri,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Very Satisfied,5,E-Excellent
Missouri,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Very Satisfied,5,E-Excellent
Missouri,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Very Satisfied,5,E-Excellent
Missouri,Please indicate your overall satisfaction with this convening,Networking Opportunities,Very Satisfied,5,E-Excellent
Missouri,Please indicate your overall satisfaction with this convening,Plenary Speakers,Somewhat Satisfied,4,D-Good
Missouri,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Somewhat Satisfied,4,D-Good
Missouri,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Neutral,3,C-Average
Missouri,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Neutral,3,C-Average
Missouri,Please indicate your overall satisfaction with this convening,Networking Opportunities,Somewhat Satisfied,4,D-Good
Missouri,Please indicate your overall satisfaction with this convening,Plenary Speakers,Neutral,3,C-Average
Missouri,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Very Dissatisfied,1,A-Poor
Missouri,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Very Dissatisfied,1,A-Poor
Missouri,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Somewhat Satisfied,4,D-Good
Missouri,Please indicate your overall satisfaction with this convening,Networking Opportunities,Very Dissatisfied,1,A-Poor
Missouri,Please indicate your overall satisfaction with this convening,Plenary Speakers,Very Satisfied,5,E-Excellent
Missouri,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Very Satisfied,5,E-Excellent
Missouri,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Very Satisfied,5,E-Excellent
Missouri,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Very Satisfied,5,E-Excellent
Missouri,Please indicate your overall satisfaction with this convening,Networking Opportunities,Very Satisfied,5,E-Excellent
Missouri,Please indicate your overall satisfaction with this convening,Plenary Speakers,Very Satisfied,5,E-Excellent
Missouri,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Very Satisfied,5,E-Excellent
Missouri,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Very Satisfied,5,E-Excellent
Missouri,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Somewhat Satisfied,4,D-Good
Missouri,Please indicate your overall satisfaction with this convening,Networking Opportunities,Very Satisfied,5,E-Excellent
Montana,Please indicate your overall satisfaction with this convening,Plenary Speakers,Very Satisfied,5,E-Excellent
Montana,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Very Satisfied,5,E-Excellent
Montana,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Very Satisfied,5,E-Excellent
Montana,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Neutral,3,C-Average
Montana,Please indicate your overall satisfaction with this convening,Networking Opportunities,Somewhat Satisfied,4,D-Good
Montana,Please indicate your overall satisfaction with this convening,Plenary Speakers,Somewhat Dissatisfied,2,B-Fair
Montana,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Neutral,3,C-Average
Montana,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Neutral,3,C-Average
Montana,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Neutral,3,C-Average
Montana,Please indicate your overall satisfaction with this convening,Networking Opportunities,Somewhat Satisfied,4,D-Good
Montana,Please indicate your overall satisfaction with this convening,Plenary Speakers,Neutral,3,C-Average
Montana,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Neutral,3,C-Average
Montana,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Somewhat Satisfied,4,D-Good
Montana,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Somewhat Dissatisfied,2,B-Fair
Montana,Please indicate your overall satisfaction with this convening,Networking Opportunities,Somewhat Satisfied,4,D-Good
